reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
a1832754-2e15-465f-8c5e-9d4155113ea1,sity h5,https://play-lh.googleusercontent.com/a/ACg8ocKzdQipVZN_XMGalNisIVia-0fy2obObM03SRUW81U0v6c8HA=mo,"seringkali ya paket dateng tiba-tiba, tanpa konfirmasi ataupun pesan, terus gak tau paketnya di titipkan ke siapa, gak ada bukti foto, dan paket juga bukan saya yg nerima. Tolong diperbaiki lagi, kalaupun paket tiba tolong kasih bukti foto, dan juga pesan. kalo kayak gini terus lama-lama pada pindah ke sebelah",1,11,V3.27.2,2026-03-12 17:34:46,,,V3.27.2
3bebdb02-84eb-45ce-b3af-9c4baf64d85b,Carissa Inayah Salsabila,https://play-lh.googleusercontent.com/a-/ALV-UjXrg53fUoryHLGDi0krmpVfhEL7wWvB9F3Uq_dneZqtrFMAwNnw,"Saya sangat kecewa karena status pengiriman sudah tertera on shipping, padahal paket masih berada di pihak pengirim dan belum dilakukan pickup hampir satu minggu. Selain itu, saya juga menerima respons yang kurang menyenangkan dari customer service. Jika memang belum siap memberikan pelayanan melalui aplikasi, sebaiknya opsi tersebut tidak perlu disediakan agar tidak mengecewakan pelanggan.",1,2,V3.27.2,2026-03-04 08:49:57,,,V3.27.2
f0845eb6-e72a-411b-a134-02e11317ad99,Sri Wahyuni Rahayu,https://play-lh.googleusercontent.com/a/ACg8ocJSPfrX4r47wf_QFnDxP8xcky7C4L1msVYywAxKgj0XfuqZuw=mo,"baru pertama kali pake apk ini,udah 3 hari paketku gak di pickup,tapi status di app nya katanya udah di ambil kurir,apaan paket masih ngejogrog di rumah juga,maen proses2 aja,gakjelas banget,di chat berkali kali kagak di bls2",1,8,V3.27.2,2026-03-14 17:12:57,,,V3.27.2
12f237c7-19c3-4561-98c0-a5d4d9c22b7f,Hadi Firmansyah,https://play-lh.googleusercontent.com/a-/ALV-UjV6fvUnW1QTeBtc8RH5tIxe8zxIrDFCODVYCRtpSpqg52rCs8s,Gimana sistem kerja kalian ini sekarang. Udah mulai seenaknya ya kerja kalian!! Udah beberapa kali kejadian paket belum sampai ke penerima udah asal retur aja ke penjual!! Saya lacak barang baru sampai gudang belum sampai ke penerima langsung main retur aja barangnya!! Kalo faktor cuaca emang tidak mendukung terlambat juga bukan masalah asal barang samapai ke penerima dan kalo barang mau di kembalikan alangkah baiknya hubungi ke penerima terlebih dahulu bukan barang langsung di retur bilang aja!,1,14,V3.27.2,2026-03-01 18:27:54,,,V3.27.2
7092e09a-c88f-412a-ad80-2656b63c54d0,Emi Rahmawati,https://play-lh.googleusercontent.com/a-/ALV-UjUV9n4HZnQ_eGlY60gZGSKDELWchZed6oEYAfM4N8bIr4UsVzk,"Tolong diperbaiki pelayanannya, saya sudah 3x pickup paket tetapi tidak ada kurir yang datang sampe berhari-hari dan pihak J&T tidak ada konfirmasi sama sekali. Akhirnya saya memilih untuk dropoff sendirii. Tolong perbaiki ya kak pelayanannya. Terimakasih🙏",1,3,V3.27.3,2026-03-29 15:50:31,,,V3.27.3
4400f4ce-ccba-4cf7-ab84-1d5015513644,Sandi Kurniawan,https://play-lh.googleusercontent.com/a-/ALV-UjXTfb1FLwCLEwJKzP3gDkd-gnzxV2yD57JQoYAn6TCcCvFIQ4tR,"tolong lebih konsisten dengan slogan,dan kepada seller maupun pembeli.karena saya selaku pembeli merasa di rugikan dengan alasan paket di tolak pembeli,jelas paket tersebut belum saya terima/, sudah berkali-kali estimasi hingga basi tak kunjung kemari..",2,5,V3.27.3,2026-03-19 17:43:21,,,V3.27.3
db5ed6bb-9c72-466b-819a-26c377a36440,Khalisa 99,https://play-lh.googleusercontent.com/a-/ALV-UjXQqfCHZPl9inlF-k6OxHxsX8EtZG2qzVcksIeMb_lVj6x29E4,"Baru kirim ke dropoff slh satu cab di Kab. Gresik. Berat di aplikasi 9kg 'lebih dikit' yg harganya masih ikut atau sama dengan yg 9kg (di aplikasi), ditimbang ulang lagi di dropoff ternyata 9.38kg. Akhirnya mbaknya bilang ikut 10kg hitungannya karna kadang di apk sama komputer dropoff beda. Pdhl berat dimensi malah -7kg , tp cust sudah jujur dengan menulis sesuai timbangan 9kg, eh malah diikutkan 10kg, bukan masalah uang krn nambah ga masalah, tpi tolong jujur, Kalo ga niat bikin apk jan gini🥲",2,6,V3.27.2,2026-03-11 18:39:49,,,V3.27.2
9cab0f3c-c428-4fa0-b9c4-09d4d258bb0d,Paremex X,https://play-lh.googleusercontent.com/a-/ALV-UjUG2uuAI7BSpKLzxMj4AgjTbZG7Hs-gzkGNQ1MPlYNTZ9c096Hh,"Aneh banget sama nih pengirimannya, di tik tok shop pesanan di kirim besok tertera di tulisannya, trus saya cek di apk ini kok barangnya malah di retur, jujur kecewa udah nunggu lama+ udah excited banget mau nyobain barang yg di beli,, ehh ga ada chat atau telpon malah diretur... thx",1,5,V3.27.3,2026-03-25 19:56:02,,,V3.27.3
317158d7-956b-42da-b4e0-a79bc0296220,Jidannn,https://play-lh.googleusercontent.com/a/ACg8ocLsBJOU1xv6Xb6ptfthy7qb-7plLdD5h3V3BhA2CfYTR1dSkA=mo,"kecewa sih, udh paket nyangkut di gudang dua hari, sekalinya di anter saya lagi ga di rumah,tiba tiba di return, padahal kan di paket ada no telepon, kenapa ga di telepon aja?heran,ini kejadian udh yang kesekian kalinya,mohon di evaluasi.",1,7,V3.27.2,2026-03-14 14:35:31,,,V3.27.2
cca8bb24-83aa-4d06-9009-dbe258b50aca,Reres Khoirunnisa,https://play-lh.googleusercontent.com/a-/ALV-UjVD9ANwzS7Hf0rB1bzT9GY7pfRdjLDcMa4l9q2piC_A7UZdTpLP,"sungguh mengecewakan pesen tgl 28 februari sampai sekarang belum sampe padahal paket udah nyampe dikota tujuan dari tgl 4,,disusulin ke gudang nya katanya gak ada,, gimana sih,, kalo ilang bilang aja ilang ke aplikasinya jangan di gantung gini 😡",1,4,V3.27.2,2026-03-15 07:38:34,,,V3.27.2
