reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,label
c4ea974a-0b07-4faf-a86d-9048ac40c872,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,sebaiknya pada menu pelacakan paket diberi keterangan penerima dan pengirim.. supaya lebih jelas. dan juga di fitur pick up pada aplikasi diberi tombol cancel .. karena saya pernah pesan 1 hari gk ada kurir datang dan gak bisa dibatalin.,3,0,3.2.0 ,2019-08-13 10:45:22,,,3.2.0 ,0
f6da1506-3223-4abf-b64d-a21d309e4524,Abang Bewok,https://play-lh.googleusercontent.com/a/ACg8ocJ-63KqQ_Qgr3HQC3xJLfv-TwujMTVGTZ8Y7lDmVjvWwtgxeQ=mo,ekspedisi tolol,1,0,V3.26.9,2025-12-12 14:28:32,,,V3.26.9,1
87092045-7fae-4a76-8be6-1649076fb558,Farel,https://play-lh.googleusercontent.com/a/ACg8ocLqfR9YZl95j_gd9FAa9FjH6C0sou9xsXHA9_AwHwOvaB2j5w=mo,ekspedisi dengan pengiriman terlama,1,0,V3.23.5,2026-01-22 11:33:39,,,V3.23.5,1
37cc595d-3966-4af3-9c15-81d65f119d51,Agung Mulyo,https://play-lh.googleusercontent.com/a-/ALV-UjUePeEYQwmxLy5bKlJ2PzUH9MKx_zHs78EKMAmCyff_imZzDKPF,masak 15 hari paket ga sampe cmn antar kabupaten doang. mending stop aja deh jadi ekspedisi nyusahin malahan,1,0,,2026-03-16 13:18:16,,,,1
535f67b3-e88d-4dec-9682-ca799b2e9911,Muhammad Imam Wahyudi,https://play-lh.googleusercontent.com/a-/ALV-UjW9fkWjLKtg0P7l0tvWEnRMOcJ3-7pRCiTUSBJzVVesM3_T9-k,busuk,1,0,,2025-12-08 20:55:41,,,,1
9a6183dd-3629-484d-8da8-2064115d8b7b,Zinta Zaliva,https://play-lh.googleusercontent.com/a/ACg8ocLko58NtbHVV06jTI6uh4V3z8zukqv_SLdznnTw2idyvTXXqw=mo,"gila kalo bisa gue kasih bintang 0, gue kasih 0. bener bener jelek semua penanganannya. masa paket udah 2 hari stuck di pick up doang, ga update update. coba nanya ke jnt nya langsung malah jawabannya sama sekali ga ngebantu. nyesel gue make ni aplikasi, bangkrut aja dah lu. ga cabang nya ga kurirnya sama aja kaya orang idiot ngartis",1,13,V3.26.7,2025-11-09 15:32:13,,,V3.26.7,1
ef0a91c4-e81f-44e0-84aa-72d3f197f6e7,Ilman Adirman,https://play-lh.googleusercontent.com/a/ACg8ocIoKbxO5EQDI0-_v8GfndSGMxYHZy_K2_K6cA5yHeC3Hvz7GQ=mo,saya sudah pesan paket tapi tidak di antar kan oleh kurir jnt bagian Bombana,1,0,,2026-02-19 22:05:07,,,,1
1101fa95-0a35-4873-b575-836bd733b182,Initial Didi,https://play-lh.googleusercontent.com/a/ACg8ocKjLpM6wF3Kbl4S6jNz3oTpOYDGr5dUE8MHAoNTRs8TjcHSOw=mo,"Ekspedisi terburuk yg pernah ada, setiap agen dikota saya pelayanan para counternya tidak ada yg ramah.! Pernah mengalami paket hancur meski sudah ada peringatan paket pecah belah, dan di asuransi tidak ada kejelasan.! Sangat buruk.!",1,0,,2024-11-30 08:44:12,,,,1
584ca1b5-bd4b-4584-b85e-d4a87821a7ba,Dasrizal,https://play-lh.googleusercontent.com/a/ACg8ocJ3EzeV5bSOSgm-c3N5TkaZx7O-Qx7XhJgZMOer099TX0qo5Q=mo,biasa aja,5,0,V3.26.5,2026-04-03 14:51:16,,,V3.26.5,0
dbd45127-3b12-457f-a6fc-da7cc0b00e8e,Karpet terbang,https://play-lh.googleusercontent.com/a/ACg8ocL28wdQJutzLUA0aCfYS_p_AEtojdsh_gW3OuJYJP05nQpGyQ=mo,pengiriman yang paling tidak wort it estimasi nya kelewatan 4 hari belum sampai juga paketnya,1,0,,2025-11-30 08:59:22,,,,1
